18,19,9,6,11,12,7,6,3,6,3,2,4,3,1,5,4,2,4,8,2,10,5,5,9,11,10,10,13,7,10,6,12,6,3,2,5,8,4,3
12,10,16,7,14,12,5,4,6,9,8,5,6,6,1,4,3,0,2,3,7,9,8,5,10,18,13,15,12,11,8,4,6,9,8,5,5,3,2,6
16,15,13,6,12,9,10,3,3,7,4,4,8,2,6,5,1,0,1,7,2,10,17,13,5,14,15,12,5,7,4,3,12,7,4,4,4,7,1,2
14,13,5,13,7,14,9,10,5,11,5,3,5,1,1,4,4,1,3,6,9,4,11,15,7,11,7,16,7,8,13,10,8,11,5,3,3,6,3,1
17,16,5,10,10,15,7,5,3,11,5,5,6,1,1,1,1,0,5,6,7,12,15,5,10,15,15,10,12,4,3,5,3,11,5,5,5,6,5,1
7,11,14,7,13,11,7,12,12,7,8,5,7,2,2,4,1,1,2,4,3,12,8,17,4,5,5,9,5,4,12,12,12,7,8,5,5,4,2,2
9,12,18,14,16,12,3,11,3,2,7,4,8,2,2,1,3,0,2,5,10,3,7,15,15,12,8,9,4,6,12,11,5,2,7,4,4,5,2,2
15,13,7,17,4,5,11,4,8,7,9,4,5,3,2,5,4,3,1,2,4,14,12,15,17,9,11,11,15,7,10,4,4,7,9,4,4,2,1,3
20,18,9,5,4,7,14,8,4,3,7,7,8,3,5,4,1,3,6,7,4,7,12,19,6,6,13,5,6,12,9,8,8,3,7,7,7,7,6,3
14,15,17,4,14,13,4,4,12,11,6,9,5,5,2,5,2,1,6,8,4,3,17,16,15,12,13,5,8,12,10,4,12,11,6,9,5,8,6,5
