5,4,5,5,9,4,12,7,7,4,7,9,3,3,6,3,4,1,5,6,10,13,6,14,8,12,11,11,13,11,14,7,11,4,7,9,9,6,5,3
20,15,12,8,9,6,12,5,8,3,8,5,4,1,3,2,1,3,2,5,8,3,16,7,19,14,17,5,15,13,8,5,5,3,8,5,5,5,2,1
11,17,9,11,11,7,10,12,10,10,10,8,7,5,2,2,4,1,5,3,10,14,10,14,19,6,9,12,15,6,4,12,4,10,10,8,8,3,5,5
15,6,6,13,5,12,9,6,4,7,7,6,5,4,1,4,2,2,4,2,4,6,9,15,12,7,6,7,11,4,13,6,12,7,7,6,6,2,4,4
16,15,12,13,5,12,10,9,11,9,4,5,5,2,2,5,1,0,5,4,9,13,17,16,19,16,11,8,8,9,14,9,10,9,4,5,5,4,5,2
16,5,8,8,6,9,10,10,9,3,3,5,3,5,4,5,3,3,6,5,2,3,5,13,19,9,6,11,8,12,7,10,11,3,3,5,5,5,6,5
14,14,8,17,4,14,13,7,6,3,7,7,5,6,3,4,2,2,1,4,5,6,14,16,10,16,7,14,16,12,5,7,4,3,7,7,5,4,1,6
9,10,15,10,9,10,10,7,5,6,8,6,6,4,3,5,2,1,6,6,6,14,12,19,15,13,6,12,13,9,10,7,6,6,8,6,6,6,6,4
8,13,18,17,14,9,13,4,10,11,10,8,8,6,5,5,2,0,6,8,9,5,10,5,13,5,13,7,15,14,9,4,8,11,10,8,8,8,6,6
6,18,11,9,13,11,8,5,5,2,8,5,3,5,4,1,3,1,5,8,9,12,13,8,16,5,10,10,14,15,7,5,3,2,8,5,5,8,5,5
