13,7,6,9,15,7,6,4,10,8,10,4,2,6,5,5,2,3,4,8,2,14,8,16,5,8,8,6,12,9,10,4,11,8,10,4,4,8,4,6
19,15,15,6,8,8,11,5,5,7,3,6,6,4,5,2,2,3,5,6,10,14,9,9,14,8,17,4,8,14,13,5,10,7,3,6,6,6,5,4
11,8,6,12,10,5,12,7,7,11,5,8,5,2,5,5,2,0,6,6,6,13,14,11,10,15,10,9,15,10,10,7,11,11,5,8,8,6,6,2
10,6,10,11,4,15,13,7,3,4,2,9,7,2,4,2,1,2,6,5,9,12,13,10,13,18,17,14,12,9,13,7,12,4,2,9,9,5,6,2
14,18,12,17,14,4,13,13,8,11,5,6,6,2,3,5,2,1,5,2,4,5,7,19,18,11,9,13,9,11,8,13,8,11,5,6,6,2,5,2
15,9,16,17,16,3,8,9,8,3,3,9,5,1,6,5,4,2,6,3,8,3,10,5,13,11,11,7,5,7,4,9,4,3,3,9,9,3,6,1
16,13,9,16,12,6,7,9,10,3,6,4,5,4,6,3,4,3,5,4,3,6,16,7,4,12,5,12,4,7,11,9,5,3,6,4,4,4,5,4
15,16,17,14,4,4,10,10,10,11,9,9,5,4,4,2,1,0,5,2,5,5,17,13,14,12,17,7,6,12,11,10,6,11,9,9,9,2,5,4
19,9,10,6,13,5,13,6,7,2,5,5,2,1,1,1,1,3,1,5,10,9,13,6,4,4,7,6,12,15,6,6,12,2,5,5,5,5,1,1
15,4,14,5,13,10,7,10,6,3,2,3,6,3,3,5,4,3,5,3,2,4,16,16,14,9,7,13,8,9,12,10,3,3,2,3,3,3,5,3
