6,13,11,11,7,7,4,6,8,8,4,4,5,7,3,4,2,3,4,8,3,7,12,18,11,14,7,13,7,11,7,6,10,8,4,4,5,8,4,7
18,4,12,5,12,7,11,5,11,3,3,5,4,4,5,5,1,1,3,2,10,4,8,6,12,18,14,16,7,12,3,5,5,3,3,5,5,2,3,4
19,14,12,17,7,12,11,7,4,2,10,5,4,2,2,3,2,2,6,5,5,4,9,10,13,7,17,4,5,5,11,7,4,2,10,5,5,5,6,2
17,4,4,7,6,15,6,4,9,11,3,5,6,3,3,4,2,3,2,6,10,8,10,7,18,9,5,4,15,7,14,4,9,11,3,5,5,6,2,3
9,14,9,7,13,9,12,6,7,7,9,6,3,2,2,4,2,0,3,2,4,3,6,17,15,17,4,14,8,13,4,6,6,7,9,6,6,2,3,2
12,5,18,9,5,3,10,3,12,7,8,4,7,3,5,4,4,3,2,6,7,9,18,12,7,6,9,15,4,7,6,3,6,7,8,4,4,6,2,3
9,17,15,8,9,3,13,7,8,2,8,8,4,2,3,5,4,1,2,5,6,4,10,6,15,15,6,8,5,8,11,7,11,2,8,8,8,5,2,2
20,8,5,13,15,10,6,10,6,7,4,9,3,5,2,5,3,2,2,5,7,10,18,19,8,6,12,10,15,5,12,10,8,7,4,9,5,5,2,5
6,16,12,6,8,14,6,13,10,11,4,6,4,7,6,3,2,1,6,5,2,10,17,11,6,10,11,4,9,15,13,13,11,11,4,6,6,5,6,7
18,15,16,14,12,7,3,8,9,11,2,5,4,5,1,4,1,2,5,5,6,13,16,8,18,12,17,14,13,4,13,8,12,11,2,5,5,5,5,5
