18,7,9,10,14,18,7,9,10,14,12,11,9,10,3,2,9,6,2,2,5,3,0,3,5,6,13,11,15,5,18,9,5,7,3,10,9,5,3,2
19,6,4,11,6,19,6,4,11,6,12,7,5,5,4,4,8,2,6,6,4,2,2,2,8,2,8,11,17,17,15,8,9,10,3,13,5,10,4,4
12,16,6,4,14,12,16,6,4,14,3,12,9,6,11,5,8,5,5,6,1,2,1,2,3,9,8,15,6,8,5,13,15,11,10,6,9,10,11,5
18,14,6,10,7,18,14,6,10,7,9,8,5,8,3,10,2,5,1,5,4,2,1,3,7,5,6,6,19,16,12,6,8,6,14,6,5,11,3,10
6,18,5,14,15,6,18,5,14,15,12,9,8,3,6,10,6,8,7,2,5,4,3,4,3,9,8,6,11,15,16,14,12,12,7,3,8,7,6,10
14,9,11,10,10,14,9,11,10,10,7,10,8,8,4,5,8,4,4,5,2,4,1,1,8,5,4,16,6,15,15,16,11,7,14,12,8,10,4,5
19,10,18,13,15,19,10,18,13,15,11,8,4,7,11,6,7,6,5,1,3,1,0,4,2,7,8,15,17,16,18,6,12,16,5,4,4,9,11,6
10,5,14,15,12,10,5,14,15,12,7,4,5,11,4,6,9,5,6,1,1,2,1,6,8,10,13,6,10,12,8,7,4,5,7,12,5,11,4,6
12,7,11,7,16,12,7,11,7,16,8,13,6,7,6,10,7,6,3,1,5,4,3,1,7,6,4,12,9,9,11,4,6,4,4,11,6,12,6,10
16,10,15,15,10,16,10,15,15,10,4,3,7,5,9,4,6,2,4,1,4,2,2,5,5,10,5,18,16,13,10,4,12,7,4,6,7,12,9,4
